#Layer Chip Chan I J K
1 221 0 13 13 1
1 221 1 13 14 1
1 221 2 13 15 1
1 221 3 13 16 1
1 221 4 13 17 1
1 221 5 13 18 1
1 221 6 14 13 1
1 221 7 14 14 1
1 221 8 14 15 1
1 221 9 14 16 1
1 221 10 14 17 1
1 221 11 14 18 1
1 221 12 15 13 1
1 221 13 15 14 1
1 221 14 15 15 1
1 221 15 15 16 1
1 221 16 15 17 1
1 221 17 15 18 1
1 221 18 16 13 1
1 221 19 16 14 1
1 221 20 16 15 1
1 221 21 16 16 1
1 221 22 16 17 1
1 221 23 16 18 1
1 221 24 17 13 1
1 221 25 17 14 1
1 221 26 17 15 1
1 221 27 17 16 1
1 221 28 17 17 1
1 221 29 17 18 1
1 221 30 18 13 1
1 221 31 18 14 1
1 221 32 18 15 1
1 221 33 18 16 1
1 221 34 18 17 1
1 221 35 18 18 1
1 222 0 13 7 1
1 222 1 13 8 1
1 222 2 13 9 1
1 222 3 13 10 1
1 222 4 13 11 1
1 222 5 13 12 1
1 222 6 14 7 1
1 222 7 14 8 1
1 222 8 14 9 1
1 222 9 14 10 1
1 222 10 14 11 1
1 222 11 14 12 1
1 222 12 15 7 1
1 222 13 15 8 1
1 222 14 15 9 1
1 222 15 15 10 1
1 222 16 15 11 1
1 222 17 15 12 1
1 222 18 16 7 1
1 222 19 16 8 1
1 222 20 16 9 1
1 222 21 16 10 1
1 222 22 16 11 1
1 222 23 16 12 1
1 222 24 17 7 1
1 222 25 17 8 1
1 222 26 17 9 1
1 222 27 17 10 1
1 222 28 17 11 1
1 222 29 17 12 1
1 222 30 18 7 1
1 222 31 18 8 1
1 222 32 18 9 1
1 222 33 18 10 1
1 222 34 18 11 1
1 222 35 18 12 1
1 223 0 7 18 1
1 223 1 7 17 1
1 223 2 7 16 1
1 223 3 7 15 1
1 223 4 7 14 1
1 223 5 7 13 1
1 223 6 8 18 1
1 223 7 8 17 1
1 223 8 8 16 1
1 223 9 8 15 1
1 223 10 8 14 1
1 223 11 8 13 1
1 223 12 9 18 1
1 223 13 9 17 1
1 223 14 9 16 1
1 223 15 9 15 1
1 223 16 9 14 1
1 223 17 9 13 1
1 223 18 10 18 1
1 223 19 10 17 1
1 223 20 10 16 1
1 223 21 10 15 1
1 223 22 10 14 1
1 223 23 10 13 1
1 223 24 11 18 1
1 223 25 11 17 1
1 223 26 11 16 1
1 223 27 11 15 1
1 223 28 11 14 1
1 223 29 11 13 1
1 223 30 12 18 1
1 223 31 12 17 1
1 223 32 12 16 1
1 223 33 12 15 1
1 223 34 12 14 1
1 223 35 12 13 1
1 224 0 7 12 1
1 224 1 7 11 1
1 224 2 7 10 1
1 224 3 7 9 1
1 224 4 7 8 1
1 224 5 7 7 1
1 224 6 8 12 1
1 224 7 8 11 1
1 224 8 8 10 1
1 224 9 8 9 1
1 224 10 8 8 1
1 224 11 8 7 1
1 224 12 9 12 1
1 224 13 9 11 1
1 224 14 9 10 1
1 224 15 9 9 1
1 224 16 9 8 1
1 224 17 9 7 1
1 224 18 10 12 1
1 224 19 10 11 1
1 224 20 10 10 1
1 224 21 10 9 1
1 224 22 10 8 1
1 224 23 10 7 1
1 224 24 11 12 1
1 224 25 11 11 1
1 224 26 11 10 1
1 224 27 11 9 1
1 224 28 11 8 1
1 224 29 11 7 1
1 224 30 12 12 1
1 224 31 12 11 1
1 224 32 12 10 1
1 224 33 12 9 1
1 224 34 12 8 1
1 224 35 12 7 1
2 229 0 13 13 2
2 229 1 13 14 2
2 229 2 13 15 2
2 229 3 13 16 2
2 229 4 13 17 2
2 229 5 13 18 2
2 229 6 14 13 2
2 229 7 14 14 2
2 229 8 14 15 2
2 229 9 14 16 2
2 229 10 14 17 2
2 229 11 14 18 2
2 229 12 15 13 2
2 229 13 15 14 2
2 229 14 15 15 2
2 229 15 15 16 2
2 229 16 15 17 2
2 229 17 15 18 2
2 229 18 16 13 2
2 229 19 16 14 2
2 229 20 16 15 2
2 229 21 16 16 2
2 229 22 16 17 2
2 229 23 16 18 2
2 229 24 17 13 2
2 229 25 17 14 2
2 229 26 17 15 2
2 229 27 17 16 2
2 229 28 17 17 2
2 229 29 17 18 2
2 229 30 18 13 2
2 229 31 18 14 2
2 229 32 18 15 2
2 229 33 18 16 2
2 229 34 18 17 2
2 229 35 18 18 2
2 230 0 13 7 2
2 230 1 13 8 2
2 230 2 13 9 2
2 230 3 13 10 2
2 230 4 13 11 2
2 230 5 13 12 2
2 230 6 14 7 2
2 230 7 14 8 2
2 230 8 14 9 2
2 230 9 14 10 2
2 230 10 14 11 2
2 230 11 14 12 2
2 230 12 15 7 2
2 230 13 15 8 2
2 230 14 15 9 2
2 230 15 15 10 2
2 230 16 15 11 2
2 230 17 15 12 2
2 230 18 16 7 2
2 230 19 16 8 2
2 230 20 16 9 2
2 230 21 16 10 2
2 230 22 16 11 2
2 230 23 16 12 2
2 230 24 17 7 2
2 230 25 17 8 2
2 230 26 17 9 2
2 230 27 17 10 2
2 230 28 17 11 2
2 230 29 17 12 2
2 230 30 18 7 2
2 230 31 18 8 2
2 230 32 18 9 2
2 230 33 18 10 2
2 230 34 18 11 2
2 230 35 18 12 2
2 231 0 7 18 2
2 231 1 7 17 2
2 231 2 7 16 2
2 231 3 7 15 2
2 231 4 7 14 2
2 231 5 7 13 2
2 231 6 8 18 2
2 231 7 8 17 2
2 231 8 8 16 2
2 231 9 8 15 2
2 231 10 8 14 2
2 231 11 8 13 2
2 231 12 9 18 2
2 231 13 9 17 2
2 231 14 9 16 2
2 231 15 9 15 2
2 231 16 9 14 2
2 231 17 9 13 2
2 231 18 10 18 2
2 231 19 10 17 2
2 231 20 10 16 2
2 231 21 10 15 2
2 231 22 10 14 2
2 231 23 10 13 2
2 231 24 11 18 2
2 231 25 11 17 2
2 231 26 11 16 2
2 231 27 11 15 2
2 231 28 11 14 2
2 231 29 11 13 2
2 231 30 12 18 2
2 231 31 12 17 2
2 231 32 12 16 2
2 231 33 12 15 2
2 231 34 12 14 2
2 231 35 12 13 2
2 232 0 7 12 2
2 232 1 7 11 2
2 232 2 7 10 2
2 232 3 7 9 2
2 232 4 7 8 2
2 232 5 7 7 2
2 232 6 8 12 2
2 232 7 8 11 2
2 232 8 8 10 2
2 232 9 8 9 2
2 232 10 8 8 2
2 232 11 8 7 2
2 232 12 9 12 2
2 232 13 9 11 2
2 232 14 9 10 2
2 232 15 9 9 2
2 232 16 9 8 2
2 232 17 9 7 2
2 232 18 10 12 2
2 232 19 10 11 2
2 232 20 10 10 2
2 232 21 10 9 2
2 232 22 10 8 2
2 232 23 10 7 2
2 232 24 11 12 2
2 232 25 11 11 2
2 232 26 11 10 2
2 232 27 11 9 2
