#Layer Chip Chan I J K
1 129 0 0 0 1
1 129 1 25 3 1
1 129 2 24 3 1
1 129 3 23 3 1
1 129 4 22 3 1
1 129 5 21 3 1
1 129 6 20 3 1
1 129 7 19 3 1
1 129 8 27 3 1
1 129 9 28 3 1
1 129 10 29 3 1
1 129 11 30 3 1
1 129 12 31 3 1
1 129 13 32 3 1
1 129 14 33 3 1
1 129 15 34 3 1
1 129 16 35 3 1
1 129 17 36 3 1
1 129 18 36 4 1
1 129 19 35 4 1
1 129 20 34 4 1
1 129 21 33 4 1
1 129 22 32 4 1
1 129 23 31 4 1
1 129 24 30 4 1
1 129 25 29 4 1
1 129 26 28 4 1
1 129 27 27 4 1
1 129 28 19 4 1
1 129 29 20 4 1
1 129 30 21 4 1
1 129 31 22 4 1
1 129 32 23 4 1
1 129 33 24 4 1
1 129 34 25 4 1
1 129 35 26 4 1
1 130 0 11 4 1
1 130 1 12 4 1
1 130 2 13 4 1
1 130 3 14 4 1
1 130 4 15 4 1
1 130 5 16 4 1
1 130 6 17 4 1
1 130 7 18 4 1
1 130 8 10 4 1
1 130 9 9 4 1
1 130 10 8 4 1
1 130 11 7 4 1
1 130 12 6 4 1
1 130 13 5 4 1
1 130 14 4 4 1
1 130 15 3 4 1
1 130 16 2 4 1
1 130 17 1 4 1
1 130 18 1 3 1
1 130 19 2 3 1
1 130 20 3 3 1
1 130 21 4 3 1
1 130 22 5 3 1
1 130 23 6 3 1
1 130 24 7 3 1
1 130 25 8 3 1
1 130 26 9 3 1
1 130 27 10 3 1
1 130 28 18 3 1
1 130 29 17 3 1
1 130 30 16 3 1
1 130 31 15 3 1
1 130 32 14 3 1
1 130 33 13 3 1
1 130 34 12 3 1
1 130 35 11 3 1
1 131 0 11 2 1
1 131 1 12 2 1
1 131 2 13 2 1
1 131 3 14 2 1
1 131 4 15 2 1
1 131 5 16 2 1
1 131 6 17 2 1
1 131 7 18 2 1
1 131 8 10 2 1
1 131 9 9 2 1
1 131 10 8 2 1
