#Layer Chip Chan I J K
1 129 0 3 11 1
1 129 1 3 12 1
1 129 2 3 13 1
1 129 3 3 14 1
1 129 4 3 15 1
1 129 5 3 16 1
1 129 6 3 17 1
1 129 7 3 18 1
1 129 8 3 10 1
1 129 9 3 9 1
1 129 10 3 8 1
1 129 11 3 7 1
1 129 12 3 6 1
1 129 13 3 5 1
1 129 14 3 4 1
1 129 15 3 3 1
1 129 16 3 2 1
1 129 17 3 1 1
1 129 18 4 1 1
1 129 19 4 2 1
1 129 20 4 3 1
1 129 21 4 4 1
1 129 22 4 5 1
1 129 23 4 6 1
1 129 24 4 7 1
1 129 25 4 8 1
1 129 26 4 9 1
1 129 27 4 10 1
1 129 28 4 18 1
1 129 29 4 17 1
1 129 30 4 16 1
1 129 31 4 15 1
1 129 32 4 14 1
1 129 33 4 13 1
1 129 34 4 12 1
1 129 35 4 11 1
1 130 0 4 26 1
1 130 1 4 25 1
1 130 2 4 24 1
1 130 3 4 23 1
1 130 4 4 22 1
1 130 5 4 21 1
1 130 6 4 20 1
1 130 7 4 19 1
1 130 8 4 27 1
1 130 9 4 28 1
1 130 10 4 29 1
1 130 11 4 30 1
1 130 12 4 31 1
1 130 13 4 32 1
1 130 14 4 33 1
1 130 15 4 34 1
1 130 16 4 35 1
1 130 17 4 36 1
1 130 18 3 36 1
1 130 19 3 35 1
1 130 20 3 34 1
1 130 21 3 33 1
1 130 22 3 32 1
1 130 23 3 31 1
1 130 24 3 30 1
1 130 25 3 29 1
1 130 26 3 28 1
1 130 27 3 27 1
1 130 28 3 19 1
1 130 29 3 20 1
1 130 30 3 21 1
1 130 31 3 22 1
1 130 32 3 23 1
1 130 33 3 24 1
1 130 34 3 25 1
1 130 35 3 26 1
1 131 0 2 26 1
1 131 1 2 25 1
1 131 2 2 24 1
1 131 3 2 23 1
1 131 4 2 22 1
1 131 5 2 21 1
1 131 6 2 20 1
1 131 7 2 19 1
1 131 8 2 27 1
1 131 9 2 28 1
1 131 10 2 29 1
1 131 11 2 30 1
1 131 12 2 31 1
1 131 13 2 32 1
1 131 14 2 33 1
